 # Re 	 CD 
 10.4 	 0.963448 
 10.41 	 0.963883 
 10.42 	 0.964316 
 10.43 	 0.964746 
 10.44 	 0.965173 
 10.45 	 0.965597 
 10.46 	 0.966018 
 10.47 	 0.966437 
 10.48 	 0.966853 
 10.49 	 0.967266 
 10.5 	 0.967677 
 10.51 	 0.968084 
 10.52 	 0.968489 
 10.53 	 0.968892 
 10.54 	 0.969291 
 10.55 	 0.969687 
 10.56 	 0.970081 
 10.57 	 0.970472 
 10.58 	 0.970861 
 10.59 	 0.971246 
 10.6 	 0.971629 
 10.61 	 0.972009 
 10.62 	 0.972387 
 10.63 	 0.972761 
 10.64 	 0.973133 
 10.65 	 0.973502 
 10.66 	 0.973868 
 10.67 	 0.974232 
 10.68 	 0.974593 
 10.69 	 0.974951 
 10.7 	 0.975306 
 10.71 	 0.975659 
 10.72 	 0.976009 
 10.73 	 0.976356 
 10.74 	 0.9767 
 10.75 	 0.977042 
 10.76 	 0.977381 
 10.77 	 0.977717 
 10.78 	 0.97805 
 10.79 	 0.978381 
 10.8 	 0.978709 
 10.81 	 0.979034 
 10.82 	 0.979357 
 10.83 	 0.979677 
 10.84 	 0.979994 
 10.85 	 0.980308 
 10.86 	 0.98062 
 10.87 	 0.980929 
 10.88 	 0.981235 
 10.89 	 0.981539 
 10.9 	 0.981839 
 10.91 	 0.982138 
 10.92 	 0.982433 
 10.93 	 0.982726 
 10.94 	 0.983015 
 10.95 	 0.983303 
 10.96 	 0.983587 
 10.97 	 0.983869 
 10.98 	 0.984148 
 10.99 	 0.984424 
 11 	 0.984698 
 11.01 	 0.984969 
 11.02 	 0.985237 
 11.03 	 0.985503 
 11.04 	 0.985766 
 11.05 	 0.986026 
 11.06 	 0.986284 
 11.07 	 0.986538 
 11.08 	 0.986791 
 11.09 	 0.98704 
 11.1 	 0.987287 
 11.11 	 0.987531 
 11.12 	 0.987772 
 11.13 	 0.988011 
 11.14 	 0.988247 
 11.15 	 0.98848 
 11.16 	 0.988711 
 11.17 	 0.988939 
 11.18 	 0.989164 
 11.19 	 0.989386 
 11.2 	 0.989606 
 11.21 	 0.989824 
 11.22 	 0.990038 
 11.23 	 0.99025 
 11.24 	 0.990459 
 11.25 	 0.990666 
 11.26 	 0.99087 
 11.27 	 0.991071 
 11.28 	 0.991269 
 11.29 	 0.991465 
 11.3 	 0.991658 
 11.31 	 0.991849 
 11.32 	 0.992037 
 11.33 	 0.992222 
 11.34 	 0.992404 
 11.35 	 0.992584 
 11.36 	 0.992762 
 11.37 	 0.992936 
 11.38 	 0.993108 
 11.39 	 0.993277 
 11.4 	 0.993444 
 11.41 	 0.993608 
 11.42 	 0.993769 
 11.43 	 0.993928 
 11.44 	 0.994084 
 11.45 	 0.994237 
 11.46 	 0.994388 
 11.47 	 0.994536 
 11.48 	 0.994681 
 11.49 	 0.994824 
 11.5 	 0.994964 
 11.51 	 0.995102 
 11.52 	 0.995237 
 11.53 	 0.995369 
 11.54 	 0.995499 
 11.55 	 0.995626 
 11.56 	 0.99575 
 11.57 	 0.995872 
 11.58 	 0.995991 
 11.59 	 0.996107 
 11.6 	 0.996221 
 11.61 	 0.996332 
 11.62 	 0.996441 
 11.63 	 0.996547 
 11.64 	 0.99665 
 11.65 	 0.996751 
 11.66 	 0.996849 
 11.67 	 0.996945 
 11.68 	 0.997038 
 11.69 	 0.997128 
 11.7 	 0.997215 
 11.71 	 0.9973 
 11.72 	 0.997383 
 11.73 	 0.997463 
 11.74 	 0.99754 
 11.75 	 0.997615 
 11.76 	 0.997687 
 11.77 	 0.997756 
 11.78 	 0.997823 
 11.79 	 0.997887 
 11.8 	 0.997948 
 11.81 	 0.998007 
 11.82 	 0.998064 
 11.83 	 0.998118 
 11.84 	 0.998169 
 11.85 	 0.998217 
 11.86 	 0.998263 
 11.87 	 0.998307 
 11.88 	 0.998348 
 11.89 	 0.998386 
 11.9 	 0.998422 
 11.91 	 0.998455 
 11.92 	 0.998485 
 11.93 	 0.998513 
 11.94 	 0.998538 
 11.95 	 0.998561 
 11.96 	 0.998581 
 11.97 	 0.998599 
 11.98 	 0.998614 
 11.99 	 0.998626 
 12 	 0.998636 
 12.01 	 0.998645 
 12.02 	 0.998653 
 12.03 	 0.998662 
 12.04 	 0.99867 
 12.05 	 0.998678 
 12.06 	 0.998687 
 12.07 	 0.998695 
 12.08 	 0.998703 
 12.09 	 0.998712 
 12.1 	 0.99872 
 12.11 	 0.998728 
 12.12 	 0.998736 
 12.13 	 0.998745 
 12.14 	 0.998753 
 12.15 	 0.998761 
 12.16 	 0.998769 
 12.17 	 0.998777 
 12.18 	 0.998785 
 12.19 	 0.998793 
 12.2 	 0.998801 
 12.21 	 0.998809 
 12.22 	 0.998817 
 12.23 	 0.998825 
 12.24 	 0.998833 
 12.25 	 0.99884 
 12.26 	 0.998848 
 12.27 	 0.998856 
 12.28 	 0.998864 
 12.29 	 0.998871 
 12.3 	 0.998879 
 12.31 	 0.998887 
 12.32 	 0.998894 
 12.33 	 0.998902 
 12.34 	 0.998909 
 12.35 	 0.998917 
 12.36 	 0.998924 
 12.37 	 0.998932 
 12.38 	 0.998939 
 12.39 	 0.998947 
 12.4 	 0.998954 
 12.41 	 0.998961 
 12.42 	 0.998969 
 12.43 	 0.998976 
 12.44 	 0.998983 
 12.45 	 0.99899 
 12.46 	 0.998997 
 12.47 	 0.999005 
 12.48 	 0.999012 
 12.49 	 0.999019 
 12.5 	 0.999026 
 12.51 	 0.999033 
 12.52 	 0.99904 
 12.53 	 0.999047 
 12.54 	 0.999054 
 12.55 	 0.999061 
 12.56 	 0.999068 
 12.57 	 0.999075 
 12.58 	 0.999081 
 12.59 	 0.999088 
 12.6 	 0.999095 
 12.61 	 0.999102 
 12.62 	 0.999108 
 12.63 	 0.999115 
 12.64 	 0.999122 
 12.65 	 0.999128 
 12.66 	 0.999135 
 12.67 	 0.999142 
 12.68 	 0.999148 
 12.69 	 0.999155 
 12.7 	 0.999161 
 12.71 	 0.999168 
 12.72 	 0.999174 
 12.73 	 0.99918 
 12.74 	 0.999187 
 12.75 	 0.999193 
 12.76 	 0.999199 
 12.77 	 0.999206 
 12.78 	 0.999212 
 12.79 	 0.999218 
 12.8 	 0.999224 
 12.81 	 0.99923 
 12.82 	 0.999237 
 12.83 	 0.999243 
 12.84 	 0.999249 
 12.85 	 0.999255 
 12.86 	 0.999261 
 12.87 	 0.999267 
 12.88 	 0.999273 
 12.89 	 0.999279 
 12.9 	 0.999285 
 12.91 	 0.999291 
 12.92 	 0.999296 
 12.93 	 0.999302 
 12.94 	 0.999308 
 12.95 	 0.999314 
 12.96 	 0.999319 
 12.97 	 0.999325 
 12.98 	 0.999331 
 12.99 	 0.999336 
 13 	 0.999342 
 13.01 	 0.999348 
 13.02 	 0.999353 
 13.03 	 0.999359 
 13.04 	 0.999364 
 13.05 	 0.99937 
 13.06 	 0.999375 
 13.07 	 0.999381 
 13.08 	 0.999386 
 13.09 	 0.999391 
 13.1 	 0.999397 
 13.11 	 0.999402 
 13.12 	 0.999407 
 13.13 	 0.999413 
 13.14 	 0.999418 
 13.15 	 0.999423 
 13.16 	 0.999428 
 13.17 	 0.999433 
 13.18 	 0.999438 
 13.19 	 0.999443 
 13.2 	 0.999448 
