 # Re 	 CD 
 10.41 	 1.06212 
 10.42 	 1.06391 
 10.43 	 1.06565 
 10.44 	 1.06734 
 10.45 	 1.06898 
 10.46 	 1.07058 
 10.47 	 1.07214 
 10.48 	 1.07365 
 10.49 	 1.07511 
 10.5 	 1.07653 
 10.51 	 1.07791 
 10.52 	 1.07924 
 10.53 	 1.08053 
 10.54 	 1.08178 
 10.55 	 1.08298 
 10.56 	 1.08414 
 10.57 	 1.08526 
 10.58 	 1.08634 
 10.59 	 1.08737 
 10.6 	 1.08837 
 10.61 	 1.08932 
 10.62 	 1.09024 
 10.63 	 1.09111 
 10.64 	 1.09195 
 10.65 	 1.09275 
 10.66 	 1.0935 
 10.67 	 1.09422 
 10.68 	 1.09491 
 10.69 	 1.09555 
 10.7 	 1.09616 
 10.71 	 1.09673 
 10.72 	 1.09727 
 10.73 	 1.09776 
 10.74 	 1.09823 
 10.75 	 1.09866 
 10.76 	 1.09905 
 10.77 	 1.09941 
 10.78 	 1.09973 
 10.79 	 1.10002 
 10.8 	 1.10028 
 10.81 	 1.10051 
 10.82 	 1.1007 
 10.83 	 1.10086 
 10.84 	 1.10099 
 10.85 	 1.10108 
 10.86 	 1.10115 
 10.87 	 1.10118 
 10.88 	 1.10119 
 10.89 	 1.10116 
 10.9 	 1.1011 
 10.91 	 1.10102 
 10.92 	 1.10091 
 10.93 	 1.10076 
 10.94 	 1.10059 
 10.95 	 1.1004 
 10.96 	 1.10017 
 10.97 	 1.09992 
 10.98 	 1.09964 
 10.99 	 1.09933 
 11 	 1.099 
 11.01 	 1.09864 
 11.02 	 1.09826 
 11.03 	 1.09785 
 11.04 	 1.09742 
 11.05 	 1.09697 
 11.06 	 1.09649 
 11.07 	 1.09598 
 11.08 	 1.09546 
 11.09 	 1.09491 
 11.1 	 1.09434 
 11.11 	 1.09375 
 11.12 	 1.09313 
 11.13 	 1.0925 
 11.14 	 1.09184 
 11.15 	 1.09117 
 11.16 	 1.09047 
 11.17 	 1.08975 
 11.18 	 1.08902 
 11.19 	 1.08827 
 11.2 	 1.08749 
 11.21 	 1.0867 
 11.22 	 1.08589 
 11.23 	 1.08507 
 11.24 	 1.08423 
 11.25 	 1.08337 
 11.26 	 1.08249 
 11.27 	 1.0816 
 11.28 	 1.08069 
 11.29 	 1.07977 
 11.3 	 1.07883 
 11.31 	 1.07788 
 11.32 	 1.07692 
 11.33 	 1.07594 
 11.34 	 1.07495 
 11.35 	 1.07394 
 11.36 	 1.07292 
 11.37 	 1.07189 
 11.38 	 1.07085 
 11.39 	 1.0698 
 11.4 	 1.06873 
 11.41 	 1.06766 
 11.42 	 1.06657 
 11.43 	 1.06548 
 11.44 	 1.06437 
 11.45 	 1.06326 
 11.46 	 1.06213 
 11.47 	 1.061 
 11.48 	 1.05986 
 11.49 	 1.05872 
 11.5 	 1.05756 
 11.51 	 1.0564 
 11.52 	 1.05523 
 11.53 	 1.05406 
 11.54 	 1.05288 
 11.55 	 1.05169 
 11.56 	 1.0505 
 11.57 	 1.0493 
 11.58 	 1.0481 
 11.59 	 1.0469 
 11.6 	 1.04569 
 11.61 	 1.04448 
 11.62 	 1.04326 
 11.63 	 1.04205 
 11.64 	 1.04083 
 11.65 	 1.03961 
 11.66 	 1.03838 
 11.67 	 1.03716 
 11.68 	 1.03594 
 11.69 	 1.03471 
 11.7 	 1.03349 
 11.71 	 1.03227 
 11.72 	 1.03104 
 11.73 	 1.02982 
 11.74 	 1.0286 
 11.75 	 1.02738 
 11.76 	 1.02617 
 11.77 	 1.02495 
 11.78 	 1.02374 
 11.79 	 1.02254 
 11.8 	 1.02133 
 11.81 	 1.02013 
 11.82 	 1.01894 
 11.83 	 1.01775 
 11.84 	 1.01657 
 11.85 	 1.01539 
 11.86 	 1.01421 
 11.87 	 1.01305 
 11.88 	 1.01189 
 11.89 	 1.01074 
 11.9 	 1.00959 
 11.91 	 1.00845 
 11.92 	 1.00733 
 11.93 	 1.00621 
 11.94 	 1.00509 
 11.95 	 1.00399 
 11.96 	 1.0029 
 11.97 	 1.00182 
 11.98 	 1.00075 
 11.99 	 0.999686 
 12 	 0.998636 
 12.01 	 0.997598 
 12.02 	 0.996571 
 12.03 	 0.995556 
 12.04 	 0.994553 
 12.05 	 0.99356 
 12.06 	 0.992579 
