 # Re 	 CD 
 2270.2 	 1143.88 
 2280.2 	 1185.2 
 2290.2 	 1226.45 
 2300.2 	 1267.63 
 2310.2 	 1308.73 
 2320.2 	 1349.77 
 2330.2 	 1390.73 
 2340.2 	 1431.63 
 2350.2 	 1472.45 
 2360.2 	 1513.2 
 2370.2 	 1553.88 
 2380.2 	 1594.5 
 2390.2 	 1635.04 
 2400.2 	 1675.51 
 2410.2 	 1715.9 
 2420.2 	 1756.23 
 2430.2 	 1796.49 
 2440.2 	 1836.68 
 2450.2 	 1876.8 
 2460.2 	 1916.84 
 2470.2 	 1956.82 
 2480.2 	 1996.73 
 2490.2 	 2036.56 
 2500.2 	 2076.33 
 2510.2 	 2116.02 
 2520.2 	 2155.65 
 2530.2 	 2195.21 
 2540.2 	 2234.69 
 2550.2 	 2274.11 
 2560.2 	 2313.45 
 2570.2 	 2352.73 
 2580.2 	 2391.93 
 2590.2 	 2431.07 
 2600.2 	 2470.14 
 2610.2 	 2509.13 
 2620.2 	 2548.06 
 2630.2 	 2586.92 
 2640.2 	 2625.71 
 2650.2 	 2664.42 
 2660.2 	 2703.07 
 2670.2 	 2741.65 
 2680.2 	 2780.16 
 2690.2 	 2818.6 
 2700.2 	 2856.97 
 2710.2 	 2895.27 
 2720.2 	 2933.5 
 2730.2 	 2971.67 
 2740.2 	 3009.76 
 2750.2 	 3047.79 
 2760.2 	 3085.74 
 2770.2 	 3123.63 
 2780.2 	 3161.44 
 2790.2 	 3199.19 
 2800.2 	 3236.87 
 2810.2 	 3274.48 
 2820.2 	 3312.02 
 2830.2 	 3349.49 
 2840.2 	 3386.9 
 2850.2 	 3424.23 
 2860.2 	 3461.5 
 2870.2 	 3498.7 
 2880.2 	 3535.83 
 2890.2 	 3572.89 
 2900.2 	 3609.88 
 2910.2 	 3646.8 
 2920.2 	 3683.65 
 2930.2 	 3720.44 
 2940.2 	 3757.16 
 2950.2 	 3793.81 
 2960.2 	 3830.39 
 2970.2 	 3866.9 
 2980.2 	 3903.34 
 2990.2 	 3939.72 
 3000.2 	 3976.03 
 3010.2 	 4012.27 
 3020.2 	 4048.44 
 3030.2 	 4084.54 
 3040.2 	 4120.58 
 3050.2 	 4156.55 
 3060.2 	 4192.45 
 3070.2 	 4228.28 
 3080.2 	 4264.04 
 3090.2 	 4299.74 
 3100.2 	 4335.37 
 3110.2 	 4370.93 
 3120.2 	 4406.42 
 3130.2 	 4441.84 
 3140.2 	 4477.2 
 3150.2 	 4512.49 
 3160.2 	 4547.71 
 3170.2 	 4582.87 
 3180.2 	 4617.96 
 3190.2 	 4652.98 
 3200.2 	 4687.93 
 3210.2 	 4722.82 
 3220.2 	 4757.63 
 3230.2 	 4792.38 
 3240.2 	 4827.07 
 3250.2 	 4861.68 
 3260.2 	 4896.23 
 3270.2 	 4930.72 
 3280.2 	 4965.13 
 3290.2 	 4999.48 
 3300.2 	 5033.76 
 3310.2 	 5067.97 
 3320.2 	 5102.12 
 3330.2 	 5136.2 
 3340.2 	 5170.22 
 3350.2 	 5204.16 
 3360.2 	 5238.04 
 3370.2 	 5271.86 
 3380.2 	 5305.6 
 3390.2 	 5339.28 
 3400.2 	 5372.9 
 3410.2 	 5406.44 
 3420.2 	 5439.92 
 3430.2 	 5473.34 
 3440.2 	 5506.68 
 3450.2 	 5539.97 
 3460.2 	 5573.18 
 3470.2 	 5606.33 
 3480.2 	 5639.41 
 3490.2 	 5672.43 
 3500.2 	 5705.38 
 3510.2 	 5738.26 
 3520.2 	 5771.08 
 3530.2 	 5803.83 
 3540.2 	 5836.52 
 3550.2 	 5869.14 
 3560.2 	 5901.69 
 3570.2 	 5934.18 
 3580.2 	 5966.6 
 3590.2 	 5998.96 
 3600.2 	 6031.25 
 3610.2 	 6063.47 
 3620.2 	 6095.63 
 3630.2 	 6127.72 
 3640.2 	 6159.75 
 3650.2 	 6191.71 
 3660.2 	 6223.61 
 3670.2 	 6255.44 
 3680.2 	 6287.21 
 3690.2 	 6318.91 
 3700.2 	 6350.54 
 3710.2 	 6382.11 
 3720.2 	 6413.62 
 3730.2 	 6445.05 
 3740.2 	 6476.43 
 3750.2 	 6507.74 
 3760.2 	 6538.98 
 3770.2 	 6570.16 
 3780.2 	 6601.27 
 3790.2 	 6632.32 
 3800.2 	 6663.3 
 3810.2 	 6694.22 
 3820.2 	 6725.08 
 3830.2 	 6755.86 
 3840.2 	 6786.59 
 3850.2 	 6817.25 
 3860.2 	 6847.84 
 3870.2 	 6878.37 
 3880.2 	 6908.84 
 3890.2 	 6939.24 
 3900.2 	 6969.57 
 3910.2 	 6999.84 
 3920.2 	 7030.05 
 3930.2 	 7060.19 
 3940.2 	 7090.27 
 3950.2 	 7120.28 
 3960.2 	 7150.23 
 3970.2 	 7180.12 
 3980.2 	 7209.94 
 3990.2 	 7239.69 
 4000.2 	 7269.39 
 4010.2 	 7299.01 
 4020.2 	 7328.58 
 4030.2 	 7358.08 
 4040.2 	 7387.51 
 4050.2 	 7416.89 
 4060.2 	 7446.19 
 4070.2 	 7475.44 
 4080.2 	 7504.62 
 4090.2 	 7533.74 
 4100.2 	 7562.79 
 4110.2 	 7591.78 
 4120.2 	 7620.7 
 4130.2 	 7649.56 
 4140.2 	 7678.36 
 4150.2 	 7707.1 
 4160.2 	 7735.77 
 4170.2 	 7764.38 
 4180.2 	 7792.92 
 4190.2 	 7821.4 
 4200.2 	 7849.82 
 4210.2 	 7878.17 
 4220.2 	 7906.46 
 4230.2 	 7934.69 
 4240.2 	 7962.85 
 4250.2 	 7990.95 
 4260.2 	 8018.99 
 4270.2 	 8046.97 
 4280.2 	 8074.88 
 4290.2 	 8102.73 
 4300.2 	 8130.51 
 4310.2 	 8158.24 
 4320.2 	 8185.9 
 4330.2 	 8213.49 
 4340.2 	 8241.03 
 4350.2 	 8268.5 
 4360.2 	 8295.91 
 4370.2 	 8323.25 
 4380.2 	 8350.54 
 4390.2 	 8377.76 
 4400.2 	 8404.92 
 4410.2 	 8432.01 
 4420.2 	 8459.04 
 4430.2 	 8486.02 
 4440.2 	 8512.92 
 4450.2 	 8539.77 
 4460.2 	 8566.55 
 4470.2 	 8593.27 
 4480.2 	 8619.93 
 4490.2 	 8646.53 
 4500.2 	 8673.07 
 4510.2 	 8699.54 
 4520.2 	 8725.95 
 4530.2 	 8752.3 
 4540.2 	 8778.58 
 4550.2 	 8804.81 
 4560.2 	 8830.97 
 4570.2 	 8857.07 
 4580.2 	 8883.11 
 4590.2 	 8909.09 
 4600.2 	 8935 
 4610.2 	 8960.86 
 4620.2 	 8986.65 
 4630.2 	 9012.38 
 4640.2 	 9038.05 
 4650.2 	 9063.65 
 4660.2 	 9089.2 
 4670.2 	 9114.68 
 4680.2 	 9140.11 
 4690.2 	 9165.47 
 4700.2 	 9190.77 
 4710.2 	 9216.01 
 4720.2 	 9241.18 
 4730.2 	 9266.3 
 4740.2 	 9291.35 
 4750.2 	 9316.35 
 4760.2 	 9341.28 
 4770.2 	 9366.15 
 4780.2 	 9390.96 
 4790.2 	 9415.71 
 4800.2 	 9440.4 
 4810.2 	 9465.03 
 4820.2 	 9489.59 
 4830.2 	 9514.1 
 4840.2 	 9538.54 
 4850.2 	 9562.93 
 4860.2 	 9587.25 
 4870.2 	 9611.51 
 4880.2 	 9635.72 
 4890.2 	 9659.86 
 4900.2 	 9683.94 
 4910.2 	 9707.96 
 4920.2 	 9731.92 
 4930.2 	 9755.82 
 4940.2 	 9779.66 
 4950.2 	 9803.44 
 4960.2 	 9827.15 
 4970.2 	 9850.81 
 4980.2 	 9874.41 
 4990.2 	 9897.95 
 5000.2 	 9921.42 
 5010.2 	 9944.84 
 5020.2 	 9968.2 
 5030.2 	 9991.5 
 5040.2 	 10014.7 
 5050.2 	 10037.9 
 5060.2 	 10061 
 5070.2 	 10084.1 
 5080.2 	 10107.1 
 5090.2 	 10130 
 5100.2 	 10152.9 
 5110.2 	 10175.7 
 5120.2 	 10198.5 
 5130.2 	 10221.2 
 5140.2 	 10243.8 
 5150.2 	 10266.4 
 5160.2 	 10288.9 
 5170.2 	 10311.4 
 5180.2 	 10333.8 
 5190.2 	 10356.1 
 5200.2 	 10378.4 
 5210.2 	 10400.6 
 5220.2 	 10422.8 
 5230.2 	 10444.9 
 5240.2 	 10466.9 
 5250.2 	 10488.9 
 5260.2 	 10510.9 
 5270.2 	 10532.7 
 5280.2 	 10554.5 
 5290.2 	 10576.3 
 5300.2 	 10598 
 5310.2 	 10619.6 
 5320.2 	 10641.2 
 5330.2 	 10662.7 
 5340.2 	 10684.1 
 5350.2 	 10705.5 
 5360.2 	 10726.9 
 5370.2 	 10748.2 
 5380.2 	 10769.4 
 5390.2 	 10790.5 
 5400.2 	 10811.6 
 5410.2 	 10832.7 
 5420.2 	 10853.7 
 5430.2 	 10874.6 
 5440.2 	 10895.5 
 5450.2 	 10916.3 
 5460.2 	 10937 
 5470.2 	 10957.7 
 5480.2 	 10978.4 
 5490.2 	 10999 
 5500.2 	 11019.5 
 5510.2 	 11039.9 
 5520.2 	 11060.3 
 5530.2 	 11080.7 
 5540.2 	 11101 
 5550.2 	 11121.2 
 5560.2 	 11141.4 
 5570.2 	 11161.5 
 5580.2 	 11181.5 
 5590.2 	 11201.5 
 5600.2 	 11221.5 
 5610.2 	 11241.4 
 5620.2 	 11261.2 
 5630.2 	 11281 
 5640.2 	 11300.7 
 5650.2 	 11320.3 
 5660.2 	 11339.9 
 5670.2 	 11359.5 
 5680.2 	 11378.9 
 5690.2 	 11398.4 
 5700.2 	 11417.7 
 5710.2 	 11437 
 5720.2 	 11456.3 
 5730.2 	 11475.5 
 5740.2 	 11494.6 
 5750.2 	 11513.7 
 5760.2 	 11532.7 
 5770.2 	 11551.7 
 5780.2 	 11570.6 
 5790.2 	 11589.4 
 5800.2 	 11608.2 
 5810.2 	 11627 
 5820.2 	 11645.7 
 5830.2 	 11664.3 
 5840.2 	 11682.8 
 5850.2 	 11701.4 
 5860.2 	 11719.8 
 5870.2 	 11738.2 
 5880.2 	 11756.5 
 5890.2 	 11774.8 
 5900.2 	 11793.1 
 5910.2 	 11811.2 
 5920.2 	 11829.3 
 5930.2 	 11847.4 
 5940.2 	 11865.4 
 5950.2 	 11883.3 
 5960.2 	 11901.2 
 5970.2 	 11919.1 
 5980.2 	 11936.8 
 5990.2 	 11954.6 
 6000.2 	 11972.2 
 6010.2 	 11989.8 
 6020.2 	 12007.4 
 6030.2 	 12024.9 
 6040.2 	 12042.3 
 6050.2 	 12059.7 
 6060.2 	 12077 
 6070.2 	 12094.3 
 6080.2 	 12111.5 
 6090.2 	 12128.7 
 6100.2 	 12145.8 
 6110.2 	 12162.8 
 6120.2 	 12179.8 
 6130.2 	 12196.8 
 6140.2 	 12213.6 
 6150.2 	 12230.5 
 6160.2 	 12247.2 
 6170.2 	 12264 
 6180.2 	 12280.6 
 6190.2 	 12297.2 
 6200.2 	 12313.8 
 6210.2 	 12330.3 
 6220.2 	 12346.7 
 6230.2 	 12363.1 
 6240.2 	 12379.4 
 6250.2 	 12395.7 
 6260.2 	 12411.9 
 6270.2 	 12428.1 
 6280.2 	 12444.2 
 6290.2 	 12460.2 
 6300.2 	 12476.2 
 6310.2 	 12492.2 
 6320.2 	 12508 
 6330.2 	 12523.9 
 6340.2 	 12539.7 
 6350.2 	 12555.4 
 6360.2 	 12571 
 6370.2 	 12586.7 
 6380.2 	 12602.2 
 6390.2 	 12617.7 
 6400.2 	 12633.2 
 6410.2 	 12648.6 
 6420.2 	 12663.9 
 6430.2 	 12679.2 
 6440.2 	 12694.4 
 6450.2 	 12709.6 
 6460.2 	 12724.7 
 6470.2 	 12739.8 
 6480.2 	 12754.8 
