 # Re 	 CD 
 1960.2 	 -1.48105e+006 
 1970.2 	 -1.12608e+006 
 1980.2 	 -759706 
 1990.2 	 -381767 
 2000.2 	 7910.07 
 2010.2 	 409496 
 2020.2 	 823163 
 2030.2 	 1.24908e+006 
 2040.2 	 1.68743e+006 
 2050.2 	 2.13839e+006 
 2060.2 	 2.60212e+006 
 2070.2 	 3.07881e+006 
 2080.2 	 3.56864e+006 
 2090.2 	 4.07177e+006 
 2100.2 	 4.5884e+006 
 2110.2 	 5.11871e+006 
 2120.2 	 5.66286e+006 
 2130.2 	 6.22106e+006 
 2140.2 	 6.79347e+006 
 2150.2 	 7.38029e+006 
 2160.2 	 7.98169e+006 
 2170.2 	 8.59787e+006 
 2180.2 	 9.229e+006 
 2190.2 	 9.87529e+006 
 2200.2 	 1.05369e+007 
 2210.2 	 1.1214e+007 
 2220.2 	 1.19069e+007 
 2230.2 	 1.26157e+007 
 2240.2 	 1.33405e+007 
 2250.2 	 1.40817e+007 
 2260.2 	 1.48393e+007 
 2270.2 	 1.56136e+007 
 2280.2 	 1.64047e+007 
 2290.2 	 1.7213e+007 
 2300.2 	 1.80385e+007 
 2310.2 	 1.88814e+007 
 2320.2 	 1.9742e+007 
 2330.2 	 2.06205e+007 
 2340.2 	 2.1517e+007 
 2350.2 	 2.24317e+007 
 2360.2 	 2.3365e+007 
 2370.2 	 2.43168e+007 
 2380.2 	 2.52876e+007 
 2390.2 	 2.62774e+007 
 2400.2 	 2.72864e+007 
 2410.2 	 2.8315e+007 
 2420.2 	 2.93632e+007 
 2430.2 	 3.04313e+007 
 2440.2 	 3.15195e+007 
 2450.2 	 3.26279e+007 
 2460.2 	 3.37569e+007 
 2470.2 	 3.49066e+007 
 2480.2 	 3.60772e+007 
 2490.2 	 3.7269e+007 
 2500.2 	 3.84821e+007 
 2510.2 	 3.97168e+007 
 2520.2 	 4.09732e+007 
 2530.2 	 4.22517e+007 
 2540.2 	 4.35523e+007 
 2550.2 	 4.48753e+007 
 2560.2 	 4.6221e+007 
 2570.2 	 4.75896e+007 
 2580.2 	 4.89811e+007 
 2590.2 	 5.0396e+007 
 2600.2 	 5.18344e+007 
 2610.2 	 5.32965e+007 
 2620.2 	 5.47825e+007 
 2630.2 	 5.62927e+007 
 2640.2 	 5.78273e+007 
 2650.2 	 5.93865e+007 
 2660.2 	 6.09705e+007 
 2670.2 	 6.25796e+007 
 2680.2 	 6.42139e+007 
 2690.2 	 6.58738e+007 
 2700.2 	 6.75593e+007 
 2710.2 	 6.92708e+007 
 2720.2 	 7.10085e+007 
 2730.2 	 7.27726e+007 
 2740.2 	 7.45633e+007 
 2750.2 	 7.63809e+007 
 2760.2 	 7.82256e+007 
 2770.2 	 8.00976e+007 
 2780.2 	 8.19971e+007 
 2790.2 	 8.39244e+007 
 2800.2 	 8.58798e+007 
 2810.2 	 8.78633e+007 
